left_center_x,left_center_y,right_center_x,right_center_y,target_x,target_y,point_id
-0.09451733249408263,-0.11853696043487028,-0.0260642218254021,-0.12541535942162776,60.0,60.0,0
-0.07186327227999031,-0.11772719908805233,0.009982316050463912,-0.12332283974960451,414.0,60.0,1
-0.04405975784823698,-0.1199626299059095,0.05807608033843537,-0.12302923394186889,768.0,60.0,2
-0.012473322714882417,-0.11583632204746762,0.08634063509003632,-0.11927393663220105,1122.0,60.0,3
0.03548606443606382,-0.10893195988830646,0.13659083417586484,-0.10785553002452758,1476.0,60.0,4
-0.1292591246665549,-0.11796150625154402,-0.04267054029922536,-0.11927959789722588,60.0,246.0,5
-0.08055820517839363,-0.11790790389222439,0.017525722105524826,-0.12002658586251021,414.0,246.0,6
-0.05636831682946568,-0.1211196682961417,0.04731379162127638,-0.11978617589050836,768.0,246.0,7
-0.01732515890829303,-0.12283625946772712,0.08597732237594924,-0.1154591623796692,1122.0,246.0,8
0.04715319237594405,-0.11759915086557232,0.1557535413304644,-0.10665709533514803,1476.0,246.0,9
-0.11655606738322499,-0.10635683681180846,-0.03533442192552834,-0.10362477407878393,60.0,432.0,10
-0.08270688474739053,-0.1023728438966075,0.0026744865625028535,-0.09972165792978713,414.0,432.0,11
-0.05443132939316891,-0.1074574769716885,0.03807398083696722,-0.10466108702043131,768.0,432.0,12
-0.009207672060704717,-0.11246293689706108,0.094318810229631,-0.10342364315459733,1122.0,432.0,13
0.047699436762826994,-0.1110639064264421,0.15401947142503725,-0.09943460789462086,1476.0,432.0,14
-0.11469115633660289,-0.10238600638014343,-0.03224092700130376,-0.0945598437811561,60.0,618.0,15
-0.08368765063360631,-0.10338565753636593,0.002911592697666096,-0.09521155617156964,414.0,618.0,16
-0.05176915376880834,-0.10306604262422772,0.03561196104892724,-0.09654612159941361,768.0,618.0,17
0.005003134062476857,-0.10110372395766007,0.09865011330025812,-0.09160230627949777,1122.0,618.0,18
0.05106546127173242,-0.09393053393055613,0.14810826183926717,-0.08677941336519646,1476.0,618.0,19
-0.10940000688791734,-0.09319996834975942,-0.03608528543780148,-0.0847310420672472,60.0,804.0,20
-0.0826811011556412,-0.09387856964597753,3.4997974431408695e-05,-0.08605173193966256,414.0,804.0,21
-0.04530424877161407,-0.09145677680560908,0.04324306657396348,-0.0815773838817813,768.0,804.0,22
-0.00040148869889884025,-0.08679312112279841,0.09622933496148744,-0.07586810744664853,1122.0,804.0,23
0.04563729531419764,-0.07921087776293972,0.14669583312091874,-0.07126450595172767,1476.0,804.0,24
