Direction,Left_X,Left_Y,Right_X,Right_Y
CENTER,0.47635668545856924,0.44438519573944874,0.5904844955511543,0.4435173044712827
CENTER,0.4877278002867439,0.4630846585749929,0.5847842654554088,0.46660657917275017
CENTER,0.4987549518958687,0.45676049738496416,0.5830455820535472,0.4616514077715731
CENTER,0.50014599703786,0.4550771620572046,0.5825525133549881,0.45953983383565083
CENTER,0.5056292694358191,0.4563553578731257,0.5838847303562033,0.4639434304357146
CENTER,0.5072764360549399,0.43941220227204175,0.5829064070576399,0.4487667083532834
CENTER,0.5017993826677087,0.4415718666145581,0.5747249133212188,0.45075966795223593
CENTER,0.5009549904079076,0.44667511540406196,0.5741781540790514,0.4593513420849615
CENTER,0.500060184340685,0.43416704109951004,0.5831036260487218,0.4451078518745529
CENTER,0.5033011410681761,0.42954479957553154,0.5840259058679028,0.4403119521025671
CENTER,0.49317847951730015,0.4244893532508293,0.5776824169702937,0.42706846975246954
CENTER,0.4932987968011232,0.42977503504347275,0.5642868483127808,0.4347398019567077
CENTER,0.4961219387761002,0.4236065454829572,0.5730915612685674,0.4331041243531469
CENTER,0.4907909153351936,0.4251804990792772,0.5789257304081544,0.4345931725185658
CENTER,0.4885349865808455,0.42672175200334894,0.5781026941711356,0.43537680282721514
CENTER,0.4910432679594342,0.4269493006032503,0.5746971970094069,0.4364089240085031
CENTER,0.4838918822834139,0.42671101473377776,0.586306978666856,0.43599533953831293
CENTER,0.4869763932954279,0.4323902341329038,0.5883628185017028,0.4444884986435964
CENTER,0.4849806030152484,0.42745622764315105,0.5913874033297671,0.43372823463494725
CENTER,0.4988091038517971,0.4376529472749979,0.5904807918964686,0.4430080566262657
CENTER,0.49626608192853183,0.4340245364621258,0.5863648475775262,0.44031658096799503
CENTER,0.4894716027796019,0.4300049197498853,0.5883283554073531,0.4350564033457719
CENTER,0.4984372971708718,0.43614018245437136,0.5793019841770672,0.439182343586363
